,#community_2,#community_3,#community_4,#community_5,#community_6,#community_7,#community_8,#community_9,#community_10,#community_11,#community_12,#community_13,#community_14,#community_15
HSPA9,2,2,3,1,1,6,4,4,4,4,4,4,4,4
HSPD1,2,2,2,3,6,4,8,2,9,9,6,9,9,6
HSPE1,2,2,2,2,2,2,2,2,2,2,2,2,9,2
SPG7,1,1,1,4,1,7,7,5,7,10,11,7,5,11
CLPP,1,1,1,1,1,1,1,7,6,11,7,12,11,7
DNAJA3,1,3,4,5,5,5,5,6,5,5,5,13,13,13
LONP1,1,1,1,5,1,5,6,6,10,6,12,10,10,5
TRAP1,2,2,3,1,4,1,3,4,1,1,1,1,1,3
YME1L1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
CLPX,1,3,4,5,5,3,5,9,3,3,3,13,3,15
AFG3L2,2,2,2,2,3,4,8,2,9,9,9,9,9,9
HTRA2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
DNAJC19,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GRPEL2,1,1,1,5,5,5,6,1,5,5,12,5,12,14
HSCB,2,2,3,1,4,1,1,8,8,8,8,8,8,1
