,Breast Invasive Carcinoma.tsv,Colon_Adenocarcinoma.tsv,Head_and_Neck_Squamous_Cell_Carcinoma.tsv,Kidney_Renal_Clear_Cell_Carcinoma.tsv,Kidney_Renal_Papillary_Cell_Carcinoma.tsv,Liver_Hepatocellular_Carcinoma.tsv,Lung_Adenocarcinoma.tsv,Lung_Squamous_Cell_Carcinoma.tsv,Prostate_Adenocarcinoma.tsv,Stomach_Adenocarcinoma.tsv,Thyroid_Carcinoma.tsv,Uterine_Corpus_Endometrial_Carcinoma.tsv
HSPA9,74.59734079,77.92906655,52.95259058,75.40696951,68.85664925,86.50351157,53.35913623,55.85183637,63.82408382,48.64322237,51.86959903,54.64911478
HSPD1,93.62278912,171.4297682,82.28538645,77.3552081,102.9544567,122.5677959,83.38550972,106.9902783,85.54327407,88.88661712,42.82414839,90.50677475
HSPE1,49.26966182,74.69833292,44.25957102,33.46988074,59.71048952,82.27590833,46.41038833,63.28587874,49.33661741,57.4550404,24.64493268,56.11295775
SPG7,4.889903238,6.649680279,4.633698691,6.91970007,10.1584397,4.649365582,6.379939171,6.013256785,6.020917462,4.509165883,8.05728005,7.776873392
CLPP,19.42490991,33.07768413,19.41153774,19.19785937,21.76259771,21.17597259,16.50345247,20.21451062,26.86035602,19.54645103,17.71677292,27.60115125
DNAJA3,11.52504848,15.13705003,9.06681068,8.004716866,12.25178757,9.942052246,9.216614502,10.46181326,8.932446283,8.503180557,7.713961429,8.382569145
LONP1,18.53236169,28.08098039,19.16497693,20.17425617,28.67726729,26.64981645,18.99204987,22.26808517,21.02558953,15.1004964,21.63625371,33.81410817
TRAP1,14.09550139,26.70200618,14.11087217,13.85652095,20.55373038,14.8017418,12.34088353,14.86963146,12.15889667,14.4939949,7.048555682,15.56185236
YME1L1,28.58500561,21.47679936,20.9507339,19.8434667,14.66669913,14.00152392,23.52334711,22.38560233,20.78049125,19.64995083,19.10088601,18.28751195
CLPX,9.566871185,9.497556715,9.594747146,7.3610584,8.005281984,10.97405667,8.808302289,9.421819458,9.665983707,8.862174672,9.886621221,8.009535411
AFG3L2,10.36737871,10.50335932,11.28271889,12.66613214,13.06473975,7.767122674,8.258203303,11.38641451,9.264868816,9.187744903,8.707374794,8.030993663
HTRA2,8.026639935,8.019601794,7.882967676,8.301780739,9.474642007,6.08851941,7.874099391,9.13485569,7.324406806,5.429644055,7.170764613,7.973533212
DNAJC19,10.28517009,7.137144042,6.429632658,7.640517348,7.693731585,8.583303794,6.485812719,13.01937161,10.4828951,7.260949725,7.011248647,8.179988909
GRPEL2,5.742865478,6.573208338,6.481464548,6.697536586,3.313409159,3.072243779,4.427341037,5.643800109,4.183143779,4.707083162,2.972062334,4.484181169
HSCB,7.490372777,6.130723702,6.674196795,8.366148535,7.573971603,9.897177453,8.246117286,9.49548842,10.96900296,5.132509956,8.623936381,10.77985701
